"Survey","Indicator","Data","Metadata","data_link"
"Lakes 2007","All","NLA 2007 All Data (ZIP)(1 pg, 5 MB)","","https://www.epa.gov/sites/production/files/2017-02/nla2007_alldata.zip"
"Lakes 2007","Landscape Data","NLA 2007 Basin Landuse Metrics - Data 20061022 (CSV)(1 pg, 307 K)","NLA 2007 Basin Landuse Metrics - Metadata 20091022 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2013-09/nla2007_basin_landuse_metrics_20061022.csv"
"Lakes 2007","Water Chemistry","NLA 2007 Profile - Data 20091008 (CSV)(1 pg, 888 K)","NLA 2007 Profile - Metadata 20091008 (TXT)(1 pg, 650 B)","https://www.epa.gov/sites/production/files/2013-09/nla2007_profile_20091008.csv"
"Lakes 2007","Visual Assessment","NLA 2007 Visual Assessment - Data 20091015 (CSV)(1 pg, 813 K)","NLA 2007 Visual Assessment - Metadata 10091015 (TXT)(1 pg, 7 K)","https://www.epa.gov/sites/production/files/2014-01/nla2007_visualassessment_20091015.csv"
"Lakes 2007","Site Information","NLA 2007 Site Information - Data 20091113 (CSV)(1 pg, 980 K)","NLA 2007 Site Information - Metadata 20091113 (TXT)(1 pg, 8 K)","https://www.epa.gov/sites/production/files/2014-01/nla2007_sampledlakeinformation_20091113.csv"
"Lakes 2007","Notes","National Lakes Assessment 2007 Final Data Notes","","https://www.epa.gov/national-aquatic-resource-surveys/national-lakes-assessment-2007-final-data-notes"
"Lakes 2007","Landscape Data","NLA 2007 Buffer Landuse Metrics - Data 20091022 (CSV)(1 pg, 273 K)","NLA 2007 Buffer Landuse Metrics - Metadata 20091022 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_buffer_landuse_metrics_20091022.csv"
"Lakes 2007","Landscape Data","NLA 2007 Lake Polygon Shapefile (ZIP)(1 pg, 9 MB)","","https://www.epa.gov/sites/production/files/2017-10/national_lakepoly_withmetrics_20090929.zip"
"Lakes 2007","Landscape Data","NLA 2007 Basin Shapefile (ZIP)(1 pg, 14 MB)","","https://www.epa.gov/sites/production/files/2017-10/nla2007_basins.zip"
"Lakes 2007","Benthic Macroinvertebrates","NLA 2007 Benthic Condition - Data (CSV)(1 pg, 119 K)","NLA 2007 Benthic Condition - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-12/nla2007_bentcond_08232016.csv"
"Lakes 2007","Benthic Macroinvertebrates","NLA 2007 Benthic Metrics - Data (CSV)(1 pg, 749 K)","NLA 2007 Benthic Metrics - Metadata (TXT)(1 pg, 13 K)","https://www.epa.gov/sites/production/files/2016-12/nla2007_bentmet.csv"
"Lakes 2007","Benthic Macroinvertebrates","NLA 2007 Benthic Count - Data (CSV)(1 pg, 7 MB)","NLA 2007 Benthic Count - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-12/nla2007_wide_benthic_08092016.csv"
"Lakes 2007","Water Chemistry","NLA 2007 Chemical Condition Estimates - Data 20091123 (CSV)(1 pg, 537 K)","NLA 2007 Chemical Condition Estimates - Metadata 20091123 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_chemical_conditionestimates_20091123.csv"
"Lakes 2007","Dissolved Oxygen","NLA 2007 Mean DO Condition Estimate - Data 20091123 (CSV)(1 pg, 366 K)","NLA 2007 Mean DO Condition Estimate - Metadata 20091123 (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_conditionestimate_20091123.csv"
"Lakes 2007","Dissolved Oxygen","NLA 2007 Mean DO - Data 20091007 (CSV)(1 pg, 31 K)","NLA 2007 Mean DO - Metadata 20091007 (RXT)(1 pg, 198 B)","https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_data_20091007.csv"
"Lakes 2007","Physical Habitat","NLA 2007 PHab Index Values - Data (CSV)(1 pg, 722 K)","NLA 2007 PHab Index Values - Metadata 20091120 (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_indexvalues.csv"
"Lakes 2007","Physical Habitat","NLA 2007 PHab Condition Estimates - Data 20091130 (CSV)(1 pg, 519 K)","NLA 2007 PHab Condition Estimates - Metadata 20091130 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_condtionestimates_20091130.csv"
"Lakes 2007","Physical Habitat","NLA 2007 PHab Metrics A - Data (CSV)(1 pg, 1 MB)","NLA 2007 PHab Metrics - Metadata 20091120 (TXT)(1 pg, 38 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_a.csv"
"Lakes 2007","Physical Habitat","NLA 2007 Phab Metrics B - Data (CSV)(1 pg, 2 MB)","NLA 2007 PHab Metrics - Metadata 20091120 (TXT)(1 pg, 38 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_b.csv"
"Lakes 2007","Phytoplankton","NLA 2007 Phytoplankton Soft Algae Count - Data 20091023 (CSV)(1 pg, 12 MB)","NLA 2007 Phytoplankton Soft Algae Count - Metadata 20091023 (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_softalgaecount_20091023.csv"
"Lakes 2007","Phytoplankton","NLA 2007 _Phytoplankton Diatom Count - Data 20091125 (CSV)(1 pg, 4 MB)","NLA 2007 Phytoplankton Diatom Count - Metadata 20091125 (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_diatomcount_20091125.csv"
"Lakes 2007","Phytoplankton","NLA 2007 Phytoplankton Sample Information - Data 20091023 (CSV)(1 pg, 223 K)","NLA 2007 Phytoplankton Sample Info - Metadata 20091023 (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_sampleinfo_20091023.csv"
"Lakes 2007","Plankton","NLA 2007 Plankton O/E Model Analysis - Data 20091019 (CSV)(1 pg, 2 MB)","NLA 2007 Plankton O/E Model Analysis Data - Metadata 20091019 (TXT)(1 pg, 373 B)","https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_analysisdata_20091019.csv"
"Lakes 2007","Plankton","NLA 2007 Plankton O/E Model - Valid Sites Used 20091021 (CSV)(1 pg, 131 K)","NLA 2007 Plankton O/E Model - Valid Sites Used - Metadata 20091021 (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_validsitesused_20091021.csv"
"Lakes 2007","Plankton","NLA 2007 Plankton O/E Model Condition Estimates 20091125 (CSV)(1 pg, 442 K)","NLA 2007 Plankton O/E Model Condition Estimates - Metadata 20091125 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_conditionestimates_20091125.csv"
"Lakes 2007","Recreation","NLA 2007 Recreational Condition Estimates 20091123 (CSV)(1 pg, 517 K)","NLA 2007 Recreational Condition Estimates - Metadata 20091123 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_recreational_conditionestimates_20091123.csv"
"Lakes 2007","Secchi","NLA 2007 Secchi - Data 20091008 (CSV)(1 pg, 60 K)","NLA 2007 Secchi - Metadata 20091008 (TXT)(1 pg, 562 B)","https://www.epa.gov/sites/production/files/2014-10/nla2007_secchi_20091008.csv"
"Lakes 2007","Trophic Status","NLA 2007 Trophic Condition Estimate - Data 20091123 (CSV)(1 pg, 522 K)","NLA 2007 Trophic Condition Estimate - Metadata 20091123 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_trophic_conditionestimate_20091123.csv"
"Lakes 2007","Water Isotope Variables","NLA 2007 Water Isotope Variables - Data (CSV)(1 pg, 118 K)","NLA 2007 Water Isotope Variables - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2018-08/nla2007_isotopes_wide.csv"
"Lakes 2007","Zooplankton","NLA 2007 Zooplankton Sample Information - Data 20091020 (CSV)(1 pg, 207 K)","NLA 2007 Zooplankton Sample Information - Metadata (TXT)(1 pg, 929 B)","https://www.epa.gov/sites/production/files/2014-10/nla2007_zooplankton_sampleinformation_20091020.csv"
"Lakes 2007","Zooplankton","NLA 2007 Zooplankton Count Data - 20091022 (CSV)(1 pg, 7 MB)","NLA2007 Zooplankton Count - Metadata 20091022 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_zooplankton_count_20091022.csv"
"Streams 2004-2005","All","WSA All Data (ZIP)(1 pg, 7 MB)","","https://www.epa.gov/sites/production/files/2014-10/wsamarch2_2009.zip"
"Streams 2004-2005","Benthic Macroinvertebrates","WSA Benthics Count (Part 1) - Data (CSV)(1 pg, 8 MB)","WSA Benthics Count - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/wsa_bencnt_genus_ts_final_part1.csv"
"Streams 2004-2005","Benthic Macroinvertebrates","WSA Benthics Count (Part 2) - Data (CSV)(1 pg, 2 MB)","WSA Benthics Count - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/wsa_bencnt_genus_ts_final_part2.csv"
"Streams 2004-2005","Benthic Macroinvertebrates","WSA Benthics Metrics - Data (CSV)(1 pg, 2 MB)","WSA Benthics Metrics - Data (TXT)(1 pg, 17 K)","https://www.epa.gov/sites/production/files/2014-10/wsa_benmet300_ts_final.csv"
"Streams 2004-2005","Landscape Data","WSA Watershed Stressor - Data (CSV)(1 pg, 90 K)","WSA Watershed Stressor - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/watershedstressor.csv"
"Streams 2004-2005","Physical Habitat","WSA Canopy Cover (Part1) - Data (CSV)(1 pg, 3 MB)","WSA Canopy Cover - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/canopycover_part1.csv"
"Streams 2004-2005","Physical Habitat","WSA Canopy Cover (Part 2) - Data (CSV)(1 pg, 2 MB)","WSA Canopy Cover - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/canopycover_part2.csv"
"Streams 2004-2005","Physical Habitat","WSA Channel Constraint - Data (CSV)(1 pg, 120 K)","WSA Channel Constraint - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/channelconstraint.csv"
"Streams 2004-2005","Physical Habitat","WSA Fish Cover - Data (CSV)(1 pg, 2 MB)","WSA Fish Cover - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/fishcover_0.csv"
"Streams 2004-2005","Physical Habitat","WSA Large Woody Debris - Data (CSV)(1 pg, 1 MB)","WSA Large Woody Debris - Metadata (TXT)(1 pg, 5 K)","https://www.epa.gov/sites/production/files/2014-10/largewoody.csv"
"Streams 2004-2005","Physical Habitat","WSA Legacy Tree - Data (CSV)(1 pg, 1 MB)","WSA Legacy Tree - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/legacytree.csv"
"Streams 2004-2005","Physical Habitat","WSA Legacy Tree Metrics - Data (CSV)(1 pg, 257 K)","WSA Legacy Tree Metrics - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/legacytreemet.csv"
"Streams 2004-2005","Physical Habitat","WSA Mesotransect Substrate - Data (CSV)(1 pg, 1 MB)","WSA Mesotransect Substrate - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/mesosubstrate.csv"
"Streams 2004-2005","Physical Habitat","WSA PHab Best Metrics - Data (CSV)(1 pg, 976 K)","WSA PHab Best Metrics - Metadata (TXT)(1 pg, 10 K)","https://www.epa.gov/sites/production/files/2014-10/phabbest.csv"
"Streams 2004-2005","Physical Habitat","WSA PHab Metrics (Part 1) - Data (CSV)(1 pg, 2 MB)","WSA PHab Metrics - Metadata (TXT)(1 pg, 58 K)","https://www.epa.gov/sites/production/files/2014-10/phabmet_part1.csv"
"Streams 2004-2005","Physical Habitat","WSA PHab Metrics (Part 2) - Data (CSV)(1 pg, 3 MB)","WSA PHab Metrics - Metadata (TXT)(1 pg, 58 K)","https://www.epa.gov/sites/production/files/2014-10/phabmet_part2.csv"
"Streams 2004-2005","Physical Habitat","WSA Rapid Habitat Assessment - Data (CSV)(1 pg, 95 K)","WSA Rapid Habitat Assessment - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/rapidhabass.csv"
"Streams 2004-2005","Physical Habitat","WSA Rapid Habitat Metrics - Data (CSV)(1 pg, 124 K)","WSA Rapid Habitat Metrics - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/rapidhabmetrics.csv"
"Streams 2004-2005","Physical Habitat","WSA Visual Riparian - Data (CSV)(1 pg, 6 MB)","WSA Visual Riparian - Metadata (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/riparian.csv"
"Streams 2004-2005","Site Information","WSA Site Information (CSV)(1 pg, 986 K)","WSA Site Information - Metadata (TXT)(1 pg, 11 K)","https://www.epa.gov/sites/production/files/2014-10/wsa_siteinfo_ts_final.csv"
"Streams 2004-2005","Stream Velocity","WSA Stream Velocity - Data (CSV)(1 pg, 126 K)","WSA Stream Velocity - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/streamvelocity.csv"
"Streams 2004-2005","Thalweg","WSA Thalweg (Part 1) - Data (CSV)(1 pg, 10 MB)","WSA Thalweg - Metadata (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/thalweg_part1.csv"
"Streams 2004-2005","Thalweg","WSA Thalweg (Part 2) - Data (CSV)(1 pg, 10 MB)","WSA Thalweg - Metadata (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/thalweg_part2.csv"
"Streams 2004-2005","Thalweg","WSA Thalweg (Part 3) - Data (CSV)(1 pg, 5 MB)","WSA Thalweg - Metadata (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/thalweg_part3.csv"
"Streams 2004-2005","Site Information","WSA Verification - Data (CSV)(1 pg, 370 K)","WSA Verification - Metadata (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/verification.csv"
"Streams 2004-2005","Water Chemistry","WSA Water Chemistry - Data (CSV)(1 pg, 568 K)","WSA Water Chemistry - Metadata (TXT)(1 pg, 8 K)","https://www.epa.gov/sites/production/files/2014-10/waterchemistry.csv"
"Streams 2004-2005","Water Chemistry","WSA Water Chemistry (Field) - Data (CSV)(1 pg, 360 K)","WSA Water Chemistry (Field) - Metadata (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/fieldchemistry.csv"
"Coastal 1999-2001/2005-2006","Benthic Macroinvertebrates","NCA Benthics - Data (XLSX)(1 pg, 6 MB)","","https://www.epa.gov/sites/production/files/2014-10/nca_benthicdata_narschallenge.xlsx"
"Coastal 1999-2001/2005-2006","Sediment Chemistry","NCA Sediment Chemistry - Data (XLSX)(1 pg, 17 MB)","","https://www.epa.gov/sites/production/files/2014-10/nca_sedchemdata_narschallenge.xlsx"
"Coastal 1999-2001/2005-2006","Site Information","NCA Site Information - Data (XLSX)(1 pg, 55 MB)","","https://www.epa.gov/sites/production/files/2014-10/nca_siteinformationdata_narschallenge.xlsx"
"Coastal 1999-2001/2005-2006","Water Chemistry","NCA Water Chemistry - Data (XLSX)(1 pg, 87 MB)","","https://www.epa.gov/sites/production/files/2014-10/nca_waterchemdata_narschallenge.xlsx"
"Rivers and Streams 2008-2009","Benthic Macroinvertebrates","NRSA 0809 Benthic Macroinvertebrate MMI and Condition Class - Data (CSV)(1 pg, 358 K)","NRSA 0809 Benthic Macroinvertebrate MMI and Condition Class - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2015-09/bentcond.csv"
"Rivers and Streams 2008-2009","Benthic Macroinvertebrates","NRSA 0809 Benthic Taxa List and Autecology - Data (CSV)(1 pg, 142 K)","NRSA 0809 Benthic Taxa List and Autecology - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-06/nrsa_0809_benttaxa.csv"
"Rivers and Streams 2008-2009","Water Chemistry","NRSA 0809 Water Chemistry - Data (CSV)(1 pg, 488 K)","NRSA 0809 Water Chemistry - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2015-09/chem.csv"
"Rivers and Streams 2008-2009","Water Chemistry","NRSA 0809 Water Chemistry Indicator Values and Condition Class - Data (CSV)(1 pg, 240 K)","NRSA 0809 Water Chemistry Indicator Values and Condition Class - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2015-09/chemcond.csv"
"Rivers and Streams 2008-2009","Enterococci","NRSA 0809 Enterococci Indicator and Condition Class - Data (CSV)(1 pg, 232 K)","NRSA 0809 Enterococci Indicator and Condition Class - Metadata (TXT)(1 pg, 668 B)","https://www.epa.gov/sites/production/files/2015-09/enterocond.csv"
"Rivers and Streams 2008-2009","Fish","NRSA 0809 Fish MMI and Condition Class - Data (CSV)(1 pg, 459 K)","NRSA 0809 Fish MMI and Condition Class - Metadata (TXT(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2015-09/fishcond.csv"
"Rivers and Streams 2008-2009","Fish","NRSA 0809 Fish Field Collection Data - Data (CSV)(1 pg, 4 MB)","NRSA 0809 Fish Field Collection Data - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2015-09/fishcts.csv"
"Rivers and Streams 2008-2009","Fish","NRSA 0809 Fish Metric Values - Data (CSV)(1 pg, 2 MB)","NRSA 0809 Fish Metric Values - Metadata (TXT)(1 pg, 15 K)","https://www.epa.gov/sites/production/files/2015-09/fishmet.csv"
"Rivers and Streams 2008-2009","Landscape Data","NRSA 0809 Landscape Metrics - Data (CSV)(1 pg, 1 MB)","NRSA 0809 Landscape Metrics - Metadata (TXT)(1 pg, 10 K)","https://www.epa.gov/sites/production/files/2015-09/land.csv"
"Rivers and Streams 2008-2009","Landscape Data","NRSA 0809 Watersheds Shapefile (ZIP)(1 pg, 134 MB)","","https://www.epa.gov/sites/production/files/2017-11/nrsa0809_watersheds.zip"
"Rivers and Streams 2008-2009","Physical Habitat","NRSA 0809 Physical Habitat Indicator Metrics and Condition Classes - Data (CSV)(1 pg, 278 K)","NRSA 0809 Physical Habitat Indicator Metrics and Condition Classes - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2015-09/phabcond_0.csv"
"Rivers and Streams 2008-2009","Physical Habitat","NRSA 0809 Physical Habitat Most Common Metrics - Data (CSV)(1 pg, 2 MB)","NRSA 0809 Physical Habitat Most Common Metrics - Metadata (TXT)(1 pg, 10 K)","https://www.epa.gov/sites/production/files/2015-09/phablow.csv"
"Rivers and Streams 2008-2009","Physical Habitat","NRSA 0809 Physical Habitat Larger Set of Metrics - Data (CSV)(1 pg, 4 MB)","NRSA 0809 Physical Habitat Larger Set of Metrics - Metadata (TXT)(1 pg, 22 K)","https://www.epa.gov/sites/production/files/2015-09/phabmed.csv"
"Rivers and Streams 2008-2009","Site Information","NRSA 0809 Site Information - Data (CSV)(1 pg, 543 K)","NRSA 0809 Site Information - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2015-09/siteinfo_0.csv"
"Rivers and Streams 2008-2009","Site Information","External Data: Site Information - Data (CSV)(1 pg, 2 MB)","External Data: Site Information - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2015-09/ext_siteinfo.csv"
"Rivers and Streams 2008-2009","Benthic Macroinvertebrates","External Data: Benthic Reference Site Metrics, MMI, and Condition Class - Data (CSV)(1 pg, 391 K)","External Data: Benthic Reference Site Metrics, MMI, and Condition Class - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2015-09/extbenthicrefcond.csv"
"Rivers and Streams 2008-2009","Fish","External Data: Fish Metrics - Data (CSV)(1 pg, 2 MB)","External Data: Fish Metrics - Metadata (TXT)(1 pg, 993 B)","https://www.epa.gov/sites/production/files/2015-09/extfishmet.csv"
"Rivers and Streams 2008-2009","Fish","External Data: Fish Reference Site Metrics, MMI, and Condition Class - Data (CSV)(1 pg, 59 K)","External Data: Fish Reference Site Metrics, MMI, and Condition Class - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2015-09/extfishrefcond.csv"
"Rivers and Streams 2008-2009","Benthic Macroinvertebrates","External Data: Benthic Macroinvertebrate Count - Data (CSV)(1 pg, 34 MB)","External Data:Benthic Macroinvertebrate Count - Metadata (TXT)(1 pg, 822 B)","https://www.epa.gov/sites/production/files/2015-09/extnrsabentcts.csv"
"Rivers and Streams 2008-2009","Field Chemistry Measures","NRSA 0809 Field Chemistry Measures - Data (CSV)(1 pg, 251 K)","NRSA 0809 Field Chemistry Measures - Metadata (TXT)(1 pg, 371 B)","https://www.epa.gov/sites/production/files/2015-11/fieldchemmeasure.csv"
